Date,Open,High,Low,Close,Volume
5-Nov-24,7.31,7.85,7.31,7.81,7.81,"4,337,900"
4-Nov-24,7.64,7.71,7.08,7.13,7.13,"2,488,800"
1-Nov-24,7.92,8.19,7.8,7.83,7.83,"3,754,400"
31-Oct-24,8.73,8.73,7.74,7.79,7.79,"2,314,200"
30-Oct-24,8.93,9.06,8.61,8.68,8.68,"2,943,700"
29-Oct-24,9.56,9.7,9.01,9.23,9.23,"4,578,700"
28-Oct-24,7.93,9.38,7.87,9.37,9.37,"5,611,600"
25-Oct-24,7.73,7.91,7.47,7.53,7.53,"1,702,400"
24-Oct-24,8,8.17,7.67,7.74,7.74,"2,150,000"
23-Oct-24,8.05,8.13,7.5,7.72,7.72,"2,304,600"
22-Oct-24,8.24,8.3,7.94,8.2,8.2,"1,538,000"
21-Oct-24,8.5,8.56,8.03,8.32,8.32,"2,385,800"
18-Oct-24,8.29,8.79,8.08,8.68,8.68,"2,534,800"
17-Oct-24,8.27,8.27,7.76,8.07,8.07,"2,296,500"
16-Oct-24,7.95,8.37,7.67,8.35,8.35,"2,174,900"
15-Oct-24,8.13,8.31,7.54,7.77,7.77,"2,446,100"
14-Oct-24,7.73,8.17,7.6,8.13,8.13,"2,421,900"
11-Oct-24,6.76,7.58,6.72,7.57,7.57,"1,708,000"
10-Oct-24,6.8,6.95,6.61,6.87,6.87,"1,237,800"
9-Oct-24,7.05,7.14,6.68,6.77,6.77,"1,768,500"
8-Oct-24,7.04,7.33,6.81,7.07,7.07,"917,900"
7-Oct-24,7.25,7.61,6.91,7.06,7.06,"1,297,200"
4-Oct-24,7.13,7.46,7.03,7.3,7.3,"1,129,400"
3-Oct-24,6.88,7.09,6.73,6.95,6.95,"1,428,200"
2-Oct-24,6.98,7.18,6.8,6.93,6.93,"1,500,600"
1-Oct-24,7.69,7.71,6.8,6.94,6.94,"3,663,900"
30-Sep-24,7.65,8.02,7.35,7.83,7.83,"4,017,000"
27-Sep-24,8.14,8.55,7.86,8.44,8.44,"2,619,300"
26-Sep-24,7.88,8.18,7.68,8,8,"4,119,600"
25-Sep-24,7.21,7.87,7.2,7.54,7.54,"1,599,300"
